customer_id,tenure_months,age,avg_purchase,support_quality,delivery_speed,pricing,churn_prob,nps_score,region
91,33,55,187.86940709054838,1.2386017948745964,1.1021828029067717,2.2061370560557667,0.02,27,North
92,23,41,142.24566136824487,6.2719802314611695,5.217945777947136,1.2590440868200508,0.08,74,East
93,24,22,118.31162231697934,9.462072172824618,1.5067294811365362,7.796235301062571,0.05,59,North
94,35,51,28.46353381644602,6.179267600882911,2.0693612464126474,6.582785962181182,0.02,48,South
95,22,23,126.85137307284225,4.493529335858697,2.057736220993944,7.336717912893012,0.06,38,East
96,27,39,198.11023151981001,6.789593965981179,6.842892719044572,2.9166774535801965,0.05,82,West
97,35,28,36.615962894939564,5.12427601442365,7.71440391338881,2.2273432802809277,0.01,79,South
98,1,33,108.48263394910998,5.910551103843415,6.250318885874437,1.1309019910109375,0.2,78,East
99,35,50,176.70088366631154,9.473183278988726,9.659552936270877,4.155288029259372,0.01,100,East
100,14,26,150.74603737329883,4.474923740206968,4.373835215713337,6.309259181691698,0.09,51,West
